phrase_cd,title,audio_url,A_sec,B_sec,C_sec,note
P1-018-032,우조시조032,https://apis.gugak.go.kr/phrase/018ujosijo/P1-018-032.wav,9.86,15.81,9.73,A 유지 9.86→9.86s(구조적 에너지 피크 재탐색); B 변경 9.66→15.81s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→9.73s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=19.07s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-018-033,우조시조033,https://apis.gugak.go.kr/phrase/018ujosijo/P1-018-033.wav,9.79,16.32,9.73,A 유지 9.86→9.79s(구조적 에너지 피크 재탐색); B 변경 9.66→16.32s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→9.73s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=19.07s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-020-010,중허리시조010,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-010.wav,12.86,16.64,6.46,A 변경 6.59→12.86s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 12.74→16.64s(후행 이동; A 이후 해소 구간 재탐색); C 변경 6.08→6.46s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=23.69s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-020-011,중허리시조011,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-011.wav,12.8,18.18,6.46,A 변경 17.86→12.80s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 12.74→18.18s(후행 이동; A 이후 해소 구간 재탐색); C 변경 6.14→6.46s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=23.69s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.96
P1-020-012,중허리시조012,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-012.wav,6.78,10.5,1.47,A 변경 0.96→6.78s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 6.72→10.50s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.45→1.47s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=18.00s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-020-013,중허리시조013,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-013.wav,11.01,15.81,6.72,A 변경 0.96→11.01s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 6.72→15.81s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.45→6.72s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=18.00s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-020-014,중허리시조014,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-014.wav,22.34,29.12,7.87,A 유지 22.40→22.34s(구조적 에너지 피크 재탐색); B 변경 18.56→29.12s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.87s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=29.88s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-020-015,중허리시조015,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-015.wav,18.56,22.72,7.87,A 변경 22.40→18.56s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 13.57→22.72s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.87s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=29.88s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-020-016,중허리시조016,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-016.wav,8.96,12.61,0.96,A 변경 13.57→8.96s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 8.83→12.61s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.96s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=15.82s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-020-017,중허리시조017,https://apis.gugak.go.kr/phrase/020jungheorisijo/P1-020-017.wav,8.83,13.95,0.96,A 유지 8.96→8.83s(구조적 에너지 피크 재탐색); B 변경 8.77→13.95s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.96s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=15.82s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-021-023,수양산가023,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-023.wav,15.36,19.07,7.81,A 유지 15.42→15.36s(구조적 에너지 피크 재탐색); B 변경 12.86→19.07s(후행 이동; A 이후 해소 구간 재탐색); C 변경 7.42→7.81s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=29.84s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-021-024,수양산가024,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-024.wav,15.36,23.04,7.81,A 유지 15.42→15.36s(구조적 에너지 피크 재탐색); B 변경 12.86→23.04s(후행 이동; A 이후 해소 구간 재탐색); C 변경 7.36→7.81s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=29.84s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-021-025,수양산가025,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-025.wav,10.24,17.34,6.66,A 변경 14.27→10.24s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 11.26→17.34s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.66s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=26.82s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-021-026,수양산가026,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-026.wav,11.33,14.66,6.66,A 유지 11.46→11.33s(구조적 에너지 피크 재탐색); B 변경 11.26→14.66s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.66s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=26.82s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-021-027,수양산가027,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-027.wav,9.54,11.07,1.09,A 변경 1.22→9.54s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 9.41→11.07s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.77→1.09s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=17.38s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-021-028,수양산가028,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-028.wav,9.47,15.36,1.09,A 변경 1.22→9.47s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 9.47→15.36s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.77→1.09s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=17.38s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-021-029,수양산가029,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-029.wav,12.1,13.76,0.9,A 유지 12.22→12.10s(구조적 에너지 피크 재탐색); B 변경 6.78→13.76s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.90s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=14.26s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-021-030,수양산가030,https://apis.gugak.go.kr/phrase/021suyangsanga/P1-021-030.wav,6.85,8.77,6.78,A 변경 12.22→6.85s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 6.78→8.77s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.78s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=14.26s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-022-010,반각시조010,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-010.wav,16.7,24.77,5.57,A 변경 9.41→16.70s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 16.58→24.77s(후행 이동; A 이후 해소 구간 재탐색); C 변경 5.25→5.57s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.25s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-011,반각시조011,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-011.wav,16.64,22.85,5.44,A 유지 16.70→16.64s(구조적 에너지 피크 재탐색); B 변경 9.34→22.85s(후행 이동; A 이후 해소 구간 재탐색); C 변경 5.18→5.44s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.25s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.97
P1-022-012,반각시조012,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-012.wav,18.88,20.35,1.54,A 변경 1.02→18.88s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 18.88→20.35s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.51→1.54s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=24.69s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-013,반각시조013,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-013.wav,15.62,19.39,9.22,A 변경 18.94→15.62s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 15.62→19.39s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.51→9.22s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=24.69s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-014,반각시조014,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-014.wav,15.23,21.18,9.73,A 유지 15.30→15.23s(구조적 에너지 피크 재탐색); B 변경 24.77→21.18s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.19→9.73s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=33.10s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-015,반각시조015,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-015.wav,24.77,30.27,9.73,A 유지 24.90→24.77s(구조적 에너지 피크 재탐색); B 변경 15.23→30.27s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→9.73s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=33.10s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-016,반각시조016,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-016.wav,9.66,11.39,1.79,A 변경 1.34→9.66s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 9.54→11.39s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.83→1.79s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=18.14s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-022-017,반각시조017,https://apis.gugak.go.kr/phrase/022bangaksijo/P1-022-017.wav,9.6,15.1,1.15,A 변경 1.34→9.60s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 9.60→15.10s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.83→1.15s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=18.14s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.95
P1-060-575,봉래의575,https://apis.gugak.go.kr/phrase/060bongraeui/P1-060-575.wav,4.35,5.12,0.9,A 변경 0.38→4.35s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 4.42→5.12s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.90s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=7.03s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-060-576,봉래의576,https://apis.gugak.go.kr/phrase/060bongraeui/P1-060-576.wav,10.88,13.18,4.1,A 유지 10.94→10.88s(구조적 에너지 피크 재탐색); B 변경 4.10→13.18s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→4.10s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=14.78s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.97
P1-060-577,봉래의577,https://apis.gugak.go.kr/phrase/060bongraeui/P1-060-577.wav,10.69,11.46,4.03,A 변경 14.53→10.69s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 10.69→11.46s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→4.03s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=17.72s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.97
P1-060-578,봉래의578,https://apis.gugak.go.kr/phrase/060bongraeui/P1-060-578.wav,12.99,15.49,3.52,A 유지 13.12→12.99s(구조적 에너지 피크 재탐색); B 변경 8.26→15.49s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.26→3.52s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=19.53s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-062-153,사선무153,https://apis.gugak.go.kr/phrase/062saseonmu/P1-062-153.wav,2.94,5.25,0.83,A 변경 0.45→2.94s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 3.07→5.25s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=8.95s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-062-154,사선무154,https://apis.gugak.go.kr/phrase/062saseonmu/P1-062-154.wav,2.62,4.29,2.11,A 변경 0.51→2.62s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 4.80→4.29s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.11s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=8.95s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-063-337,문덕곡337,https://apis.gugak.go.kr/phrase/063mundeokgok/P1-063-337.wav,13.63,16.45,5.25,A 유지 13.76→13.63s(구조적 에너지 피크 재탐색); B 변경 13.57→16.45s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.25s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=18.33s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-063-338,문덕곡338,https://apis.gugak.go.kr/phrase/063mundeokgok/P1-063-338.wav,5.38,7.94,0.96,A 변경 0.58→5.38s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 5.38→7.94s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.96s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=8.36s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-063-339,문덕곡339,https://apis.gugak.go.kr/phrase/063mundeokgok/P1-063-339.wav,2.37,3.84,0.83,A 변경 0.51→2.37s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 2.37→3.84s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=7.03s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-063-340,문덕곡340,https://apis.gugak.go.kr/phrase/063mundeokgok/P1-063-340.wav,3.26,5.76,2.37,A 변경 0.58→3.26s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 5.25→5.76s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.37s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=휘모리; 태그=신남|슬픔; dur=9.57s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-064-085,어부사085,https://apis.gugak.go.kr/phrase/064eobusa/P1-064-085.wav,19.9,21.57,6.85,A 유지 20.03→19.90s(구조적 에너지 피크 재탐색); B 변경 13.70→21.57s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.85s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=26.36s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-064-086,어부사086,https://apis.gugak.go.kr/phrase/064eobusa/P1-064-086.wav,14.53,22.59,5.25,A 유지 14.59→14.53s(구조적 에너지 피크 재탐색); B 변경 7.87→22.59s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.38→5.25s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=28.99s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.94
P1-065-110,반수무110,https://apis.gugak.go.kr/phrase/065bansumu/P1-065-110.wav,3.26,5.7,2.37,A 유지 3.46→3.26s(구조적 에너지 피크 재탐색); B 변경 5.18→5.70s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.37s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=9.64s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-065-111,반수무111,https://apis.gugak.go.kr/phrase/065bansumu/P1-065-111.wav,3.26,5.63,3.26,A 유지 3.46→3.26s(구조적 에너지 피크 재탐색); B 변경 5.18→5.63s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→3.26s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=9.72s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-066-067,육화대067,https://apis.gugak.go.kr/phrase/066yukhwadae/P1-066-067.wav,3.46,5.89,1.09,A 유지 3.65→3.46s(구조적 에너지 피크 재탐색); B 변경 5.44→5.89s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.32→1.09s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=9.92s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-066-068,육화대068,https://apis.gugak.go.kr/phrase/066yukhwadae/P1-066-068.wav,3.26,5.63,2.24,A 유지 3.39→3.26s(구조적 에너지 피크 재탐색); B 변경 5.12→5.63s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.24s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=9.64s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-067-072,경풍도072,https://apis.gugak.go.kr/phrase/067gyeongpungdo/P1-067-072.wav,3.14,5.5,2.24,A 유지 3.33→3.14s(구조적 에너지 피크 재탐색); B 변경 5.06→5.50s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.24s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=9.52s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-067-073,경풍도073,https://apis.gugak.go.kr/phrase/067gyeongpungdo/P1-067-073.wav,3.33,5.7,0.83,A 유지 3.46→3.33s(구조적 에너지 피크 재탐색); B 변경 5.25→5.70s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=9.68s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-068-249,황령무249,https://apis.gugak.go.kr/phrase/068hwangryeongmu/P1-068-249.wav,11.9,16.0,4.8,A 유지 12.03→11.90s(구조적 에너지 피크 재탐색); B 변경 4.80→16.00s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→4.80s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=휘모리; 태그=신남|슬픔; dur=18.11s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-068-250,황령무250,https://apis.gugak.go.kr/phrase/068hwangryeongmu/P1-068-250.wav,11.58,16.32,4.67,A 변경 16.00→11.58s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 11.52→16.32s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→4.67s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=24.30s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-068-251,황령무251,https://apis.gugak.go.kr/phrase/068hwangryeongmu/P1-068-251.wav,11.46,18.88,4.54,A 변경 18.50→11.46s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 11.46→18.88s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→4.54s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=22.22s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-069-053,무애무053,https://apis.gugak.go.kr/phrase/069muaemu/P1-069-053.wav,2.05,3.07,0.83,A 변경 0.26→2.05s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 2.05→3.07s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=3.08s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-069-054,무애무054,https://apis.gugak.go.kr/phrase/069muaemu/P1-069-054.wav,3.07,5.57,2.11,A 유지 3.20→3.07s(구조적 에너지 피크 재탐색); B 변경 5.06→5.57s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.11s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=9.83s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-070-101,처용가101,https://apis.gugak.go.kr/phrase/070cheoyongga/P1-070-101.wav,3.01,5.31,2.11,A 유지 3.20→3.01s(구조적 에너지 피크 재탐색); B 변경 3.01→5.31s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→2.11s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=9.23s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-070-102,처용가102,https://apis.gugak.go.kr/phrase/070cheoyongga/P1-070-102.wav,3.01,5.38,0.83,A 유지 3.20→3.01s(구조적 에너지 피크 재탐색); B 변경 3.01→5.38s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=9.26s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-071-081,수악절창사081,https://apis.gugak.go.kr/phrase/071suakjeolchangsa/P1-071-081.wav,15.04,23.74,8.19,A 유지 15.17→15.04s(구조적 에너지 피크 재탐색); B 변경 14.98→23.74s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.19s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=33.84s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.86
P1-071-082,수악절창사082,https://apis.gugak.go.kr/phrase/071suakjeolchangsa/P1-071-082.wav,21.89,30.59,21.89,A 변경 13.06→21.89s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 21.82→30.59s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→21.89s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=41.87s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-072-123,연백복지무123,https://apis.gugak.go.kr/phrase/072yeonbaekbokchimu/P1-072-123.wav,11.84,19.07,6.91,A 유지 11.97→11.84s(구조적 에너지 피크 재탐색); B 변경 18.69→19.07s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.91s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=26.97s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.90
P1-072-124,연백복지무124,https://apis.gugak.go.kr/phrase/072yeonbaekbokchimu/P1-072-124.wav,18.94,27.78,10.56,A 유지 19.07→18.94s(구조적 에너지 피크 재탐색); B 변경 18.88→27.78s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.26→10.56s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=36.61s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.91
